Attendance,Study_Hours_Per_Day,Previous_Marks,Assignments_Submitted,Test_Score,Final_Result
92,4.5,88,10,91,Pass
85,3.2,75,9,78,Pass
78,2.5,68,8,65,Pass
60,1.5,55,6,52,Fail
95,5.0,92,10,94,Pass
88,3.8,81,9,84,Pass
72,2.0,62,7,60,Fail
90,4.0,85,10,88,Pass
67,1.8,58,6,55,Fail
82,3.0,72,8,74,Pass
76,2.6,69,7,68,Pass
55,1.2,48,5,45,Fail
98,5.5,95,10,97,Pass
87,3.6,80,9,82,Pass
70,2.1,64,7,62,Fail
93,4.8,90,10,92,Pass
65,1.9,60,6,58,Fail
84,3.4,77,8,79,Pass
79,2.7,71,8,70,Pass
58,1.4,52,5,50,Fail
91,4.2,86,9,89,Pass
73,2.3,66,7,64,Fail
86,3.7,79,9,81,Pass
62,1.6,56,6,54,Fail
97,5.2,93,10,95,Pass
80,3.1,74,8,76,Pass
69,2.0,63,7,61,Fail
89,3.9,83,9,85,Pass
74,2.4,67,7,66,Pass
57,1.3,50,5,48,Fail
94,4.9,91,10,93,Pass
83,3.3,76,8,78,Pass
68,1.9,61,6,59,Fail
88,3.8,82,9,84,Pass
75,2.5,70,7,69,Pass
59,1.4,53,5,51,Fail
96,5.1,94,10,96,Pass
81,3.2,73,8,75,Pass
71,2.2,65,7,63,Fail
90,4.1,87,9,88,Pass
64,1.7,57,6,55,Fail
85,3.5,78,8,80,Pass
77,2.6,69,7,68,Pass
56,1.3,49,5,47,Fail
92,4.6,89,10,91,Pass
66,1.8,59,6,57,Fail
87,3.7,81,9,83,Pass
74,2.4,68,7,66,Pass
60,1.5,54,6,52,Fail
95,5.0,92,10,94,Pass
82,3.3,75,8,77,Pass
70,2.1,64,7,62,Fail
89,3.9,84,9,86,Pass
58,1.4,51,5,49,Fail
93,4.7,90,10,92,Pass
